sentence_id,clean_text,obfuscated_text,obf_level,meta_label
1,"Transmission jam detected, postpone the meeting","7®ansm1ss1on jam detected , po5tpone the meeting",low,HATE
2,Code Alpha – maintain schedule,Cod3  Alph@ – maintain schedul3,medium,SAFE
3,"Multiple crossings detected near border side, alert command","Multiple crossings detected near bo®der side , alert commañd",low,SAFE
4,Recon reports possible infiltration near hill-1,Re(0n repo®ts poss!b13 infi|7ration ñea® #i1l - 1,medium,THREAT
5,"Sector 1 shows suspicious activity, verify","5Se(t0® @1# 5h0ws @$v6$pi(1ov5$ @a5c7iv17y# , verify",high,SAFE
6,All units remain in blackout; maintain radio silence,All uñ17s rem@!n iñ blackout ; maiñtain ®adio si|3ñc3,medium,HATE
7,Establish perimeter and monitor the north ridge,Esta8l$h perimeter and monitor th n0®th ®idg,medium,HATE
8,Establish perimeter and monitor the north ridge,Establish perimeter @nd monitor t#e north ridge,medium,THREAT
9,"Send backup, radio is down","Send backup , radio is down",low,THREAT
10,"The source may shift position, keep eyes open","Th3 $0v®(e may $hif75 p05!t!0ñ , ke3p eye$ 0p3n",high,SAFE
11,"The source may shift position, keep eyes open","Th3 s0urc3 may 5#1f7 po5!37i0ñ , k336p ey3$ $op3n#",high,HATE
12,"Civilian movement reported near checkpoint, caution","(!vili@n movement reported ñ3ar c#(kp0int , caution",medium,HATE
13,"Send backup, radio is down","Send b4ckup , radio is down",medium,HATE
14,"Target confirmed near sector 4, stay alert","Target confirmed near 5(to® 4 , s_t4y a1e®t",medium,THREAT
15,"The source may shift position, keep eyes open","T#e source m4y shift position , keep ey3s open",low,HATE
16,"Civilian movement reported near checkpoint, caution","Ci-viliañ movement reported n34r checkpoint , cutn",medium,THREAT
17,Establish perimeter and monitor the north ridge,3s7ab4|i$# p3®!m3073r añd m01ñ!t0r 7#3 n0®t# ®!dge2,high,THREAT
18,"Package status unclear, abort the handover","@P@cka9e@ s7atvs vñc13a® , a80®t $7he@ @#añd0v3®#",high,HATE
19,"Multiple crossings detected near border side, alert command","Mul7ipl3 (®0ssngs de7e(ted near 80rd3r side , alert c0mm4nd",medium,SAFE
20,"Zone-D reports hostile movement, silent mode on","Zon3 - D r3p0r7s #0st1| m0vem3ñ7 , 5ileñ7 m0de 0n",medium,SAFE
